ID;full_address;city;address;place;category
11023427;Саранск, пр.70 Лет Октября,86, Отдел прямых продаж;Саранск;пр.70 Лет Октября,86;Отдел прямых продаж;Вне ВСП
11023428;Саранск, пр.70 Лет Октября,86, Отдел прямых продаж;Саранск;пр.70 Лет Октября,86;Отдел прямых продаж;Вне ВСП
11053497;Атемар, ул. Центральная, 5а, м-н Пятерочка;Атемар;ул. Центральная, 5а;м-н Пятерочка;Вне ВСП
11083634;Саранск, пр.70 Лет Октября,86, Отдел прямых продаж;Саранск;пр.70 Лет Октября,86;Отдел прямых продаж;Вне ВСП
11089537;Саранск, ул. Гагарина, 99а, Торговый центр 'МАКС';Саранск;ул. Гагарина, 99а;Торговый центр 'МАКС';Вне ВСП
11122216;Саранск, пр.70 Лет Октября,86, Отдел прямых продаж;Саранск;пр.70 Лет Октября,86;Отдел прямых продаж;Вне ВСП
11122217;Саранск, пр.70 Лет Октября,86, Отдел прямых продаж;Саранск;пр.70 Лет Октября,86;Отдел прямых продаж;Вне ВСП
11122218;Саранск, пр.70 Лет Октября,86, Отдел прямых продаж;Саранск;пр.70 Лет Октября,86;Отдел прямых продаж;Вне ВСП
60002337;Саранск, ул. Полежаева, 57, Центральный рынок;Саранск;ул. Полежаева, 57;Центральный рынок;Вне ВСП
60002340;Саранск, ул.Волгоградская, 71, ТЦ Сити Парк;Саранск;ул.Волгоградская, 71;ТЦ Сити Парк;Вне ВСП
60005194;Чамзинка, ул. Победы,1, Здание администрации Чамзинского района;Чамзинка;ул. Победы,1;Здание администрации Чамзинского района;З/П
60006166;Саранск, ул. Б.хмельницкого,28, ТРК 'Огарев Плаза';Саранск;ул. Б.хмельницкого,28;ТРК 'Огарев Плаза';Вне ВСП
60006168;Саранск, ул. Коваленко,53а, Супермаркет 'EUROSPAR';Саранск;ул. Коваленко,53а;Супермаркет 'EUROSPAR';Вне ВСП
60006443;Саранск, Луховка, ул.Центральная, 14, ТЦ Клевер;Саранск;Луховка, ул.Центральная, 14;ТЦ Клевер;Вне ВСП
60007831;Саранск, пр-т Ленина,58а, Ликероводочный завод;Саранск;пр-т Ленина,58а;Ликероводочный завод;З/П
60007832;Саранск, ул. Большевистская,13, расчетный центр ОАО 'ВолгаТелеком';Саранск;ул. Большевистская,13;расчетный центр ОАО 'ВолгаТелеком';З/П
60008226;Саранск, ул. Б.хмельницкого,28, ТРК 'Огарев Плаза';Саранск;ул. Б.хмельницкого,28;ТРК 'Огарев Плаза';Вне ВСП
60008228;Саранск, ул.Васенко,40в, МРСК-Волги;Саранск;ул.Васенко,40в;МРСК-Волги;З/П
60008229;Саранск, ул.Тани Бибиной, 18, м-н Пятерочка;Саранск;ул.Тани Бибиной, 18;м-н Пятерочка;Вне ВСП
60008237;Барашево, ул.Вокзальная,48, м-н 'Птица';Барашево;ул.Вокзальная,48;м-н 'Птица';Вне ВСП
60012444;Ельники, Площадь 1 Мая, 19, м-н Пятерочка;Ельники;Площадь 1 Мая, 19;м-н Пятерочка;Вне ВСП
60015233;Саранск, ул.Лесная, 2а, М-Н Магнит;Саранск;ул.Лесная, 2а;М-Н Магнит;Вне ВСП
60015234;Саранск, п.Ялга, ул.Мичурина, 32, М-Н Магнит;Саранск;п.Ялга, ул.Мичурина, 32;М-Н Магнит;Вне ВСП
60015235;Большое Игнатово, ул.советская, 45, М-Н Магнит;Большое Игнатово;ул.советская, 45;М-Н Магнит;Вне ВСП
60015236;Ельники, пл.1 Мая, 14, М-Н Магнит;Ельники;пл.1 Мая, 14;М-Н Магнит;Вне ВСП
60015237;Зубова Поляна, ул.Советская,28, М-Н Магнит;Зубова Поляна;ул.Советская,28;М-Н Магнит;Вне ВСП
60015238;Ардатов, пер.Л.Толстого, 2/5, М-Н Магнит;Ардатов;пер.Л.Толстого, 2/5;М-Н Магнит;Вне ВСП
