390265;Республика Мордовия, Зубово-Полянский район, посёлок городского типа Зубова Поляна, Советская улица, 39А;54.074638;42.831592
390266;Республика Мордовия, Атяшевский район, село Атяшево, Рабочая улица, 1;54.587135;46.099896
390270;Республика Мордовия, Саранск, Строительная улица, 13;54.206305;45.156324
390271;Республика Мордовия, Саранск, Гожувская улица, 24А;54.197031;45.232322
390272;Республика Мордовия, Рузаевка, улица Титова, 3;54.0401;44.932158
390273;Республика Мордовия, Ичалковский район, село Ичалки, улица Махова, 18;54.685735;45.276617
390277;Республика Мордовия, Саранск, улица Комарова, 2Бс1;54.165557;45.148149
390278;Республика Мордовия, Саранск, Солнечная улица, 25;54.231375;45.144017
390279;Республика Мордовия, Саранск, улица Попова, 61;54.170111;45.137163
390280;Республика Мордовия, Темников, улица Бараева, 1;54.631436;43.218927
390281;Республика Мордовия, Краснослободск, 1-й микрорайон, 1;54.431799;43.776521
390282;Республика Мордовия, Саранск, Александровское шоссе, 22;54.233832;45.212136
390285;Республика Мордовия, Саранск, улица Лодыгина, 11;54.226196;45.191475
390286;Республика Мордовия, Саранск, 1-я Промышленная улица, 41;54.228306;45.203854
390288;Республика Мордовия, городской округ Саранск, посёлок Озёрный, Тепличная улица, 15;54.231706;45.289957
390289;Республика Мордовия, Саранск, улица Кирова, 63;54.170517;45.178494
390291;Московская область, Пушкинский район, посёлок городского типа Лесной, Центральная улица, 7;56.071268;37.924554
390293;Республика Мордовия, Зубово-Полянский район, посёлок городского типа Зубова Поляна, улица Новикова-Прибоя, 35;54.074807;42.841923
390294;Республика Мордовия, Саранск, Пионерская улица, 8;54.191853;45.14956
390296;Республика Мордовия, Торбеевский район, посёлок городского типа Торбеево, Интернациональная улица, 13;54.073233;43.243847
398856;Республика Мордовия, Большеберезниковский район, село Большие Березники, Ульяновская улица, 19;54.17417;45.966344
413889;Республика Мордовия, Ичалковский район, село Кемля, Советская площадь;54.69378;45.256846
413890;Республика Мордовия, Ромодановский район, посёлок городского типа Ромоданово, улица Полежаева, 1;54.419778;45.334415
